,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,chihuahua,5,MX,1576265910,25,28.66,-106.08,72.0,8.05
1,havre-saint-pierre,90,CA,1576265910,54,50.23,-63.6,3.2,8.05
2,nabire,100,ID,1576265910,93,-3.36,135.5,71.38,1.92
3,dingle,74,PH,1576265910,94,11.0,122.67,74.84,11.12
4,gat,44,SN,1576265910,36,14.69,-16.54,95.0,12.75
5,bokovskaya,87,RU,1576265910,71,49.23,41.83,30.15,15.1
6,ostrovnoy,68,RU,1576265911,89,68.05,39.51,25.39,22.1
7,mataura,3,NZ,1576265911,75,-46.19,168.86,54.0,5.01
8,victoria,75,BN,1576265911,88,5.28,115.24,80.6,2.24
9,cape town,90,CL,1576265911,37,-36.41,-71.9,71.6,2.24
10,ushuaia,75,AR,1576265850,70,-54.81,-68.31,48.2,4.7
11,hilo,90,US,1576265911,88,19.71,-155.08,75.99,6.93
12,port alfred,57,CD,1576265911,64,-7.04,29.76,77.36,6.2
13,kainantu,84,PG,1576265911,92,-6.29,145.87,60.15,5.19
14,nantucket,90,US,1576265784,75,41.28,-70.1,48.99,6.93
15,lata,100,IN,1576265911,99,30.78,78.62,13.78,10.74
16,woodstock,75,CA,1576265911,60,43.13,-80.75,41.0,8.05
17,westlock,90,CA,1576265911,84,54.15,-113.85,5.0,4.7
18,busselton,0,AU,1576265911,29,-33.64,115.35,66.99,5.64
19,east london,0,UG,1576265911,79,3.43,31.7,73.02,3.27
20,souillac,90,FR,1576265911,93,45.6,-0.6,55.99,25.28
21,cherskiy,100,RU,1576265911,98,68.75,161.3,-17.36,2.48
22,norman wells,1,US,1576265911,47,35.22,-97.44,61.0,3.36
23,lebu,20,ET,1576265911,71,8.96,38.73,55.4,4.7
24,charagua,92,BO,1576265911,48,-19.79,-63.2,87.8,6.44
25,itaituba,40,BR,1576265911,63,-4.26,-55.99,91.4,5.82
26,ponta do sol,25,BR,1576265911,61,-0.53,-65.05,88.07,3.36
27,bredasdorp,54,ZA,1576265911,73,-34.53,20.04,69.8,5.82
28,verkh-usugli,54,RU,1576265911,97,52.7,115.17,0.82,0.96
29,mar del plata,94,CN,1576265912,89,29.86,90.73,13.37,4.85
30,yabrud,75,SY,1576265912,81,33.97,36.66,51.8,4.7
31,sioux lookout,90,US,1576265912,85,46.74,-90.88,25.0,0.98
32,hermanus,96,ZA,1576265912,84,-34.42,19.24,69.01,1.99
33,castro,75,CL,1576265912,82,-42.48,-73.76,57.2,8.05
34,tezu,100,IN,1576265912,56,27.93,96.16,59.27,1.61
35,ginir,23,ET,1576265912,90,7.14,40.71,57.25,4.61
36,varna,90,BG,1576265912,93,43.22,27.9,50.0,5.82
37,hasaki,75,JP,1576265912,70,35.73,140.83,43.0,5.82
38,punta arenas,75,PH,1576265912,88,14.18,121.12,77.0,2.24
39,nyzy,100,UA,1576265912,81,50.78,34.78,33.71,10.56
40,barrow,95,AR,1576265912,11,-38.31,-60.23,82.74,16.04
41,cockburn town,0,AU,1576265912,51,-32.08,141.0,60.8,12.75
42,lompoc,90,US,1576265912,93,34.64,-120.46,69.01,4.7
43,ilulissat,75,GL,1576265912,56,69.22,-51.1,15.8,9.17
44,rikitea,53,PF,1576265912,77,-23.12,-134.97,74.43,16.37
45,pangnirtung,100,CA,1576265912,97,66.15,-65.72,-17.27,2.89
46,davlekanovo,90,RU,1576265912,92,54.22,55.03,15.8,6.71
